WORK_SPACE_ID,NAME,ADDRESS,X_COORD,Y_COORD,URL,AREA_GROUP
1414,이상한사무실 대구북구점,대구 북구 검단로31길 7,128.6231138,35.91016294,http://place.map.kakao.com/2106650880,경상도
1415,이상한사무실 대구중구점,대구 중구 명륜로 39,128.5900731,35.8631339,http://place.map.kakao.com/162044656,경상도
1416,토즈밋 대구동성로점,대구 중구 동성로 39,128.5953772,35.87048989,http://place.map.kakao.com/1914765981,경상도
1417,몽도래스타트업파크,충북 괴산군 괴산읍 문무로역고개길 2,127.7991222,36.81157235,http://place.map.kakao.com/1953635536,충청도
1418,STAXX,경북 영주시 대학로86번길 14,128.6156872,36.80813736,http://place.map.kakao.com/2026148136,경상도
1419,워크24 김천점,경북 김천시 혁신로 185,128.1839112,36.11717439,http://place.map.kakao.com/447327041,경상도
1420,동아비즈니스센터,경북 구미시 1공단로7길 86-1,128.3777014,36.10992793,http://place.map.kakao.com/22008886,경상도
1421,위드미키친 구미산동점,경북 구미시 산동읍 신당1로2길 15,128.4318297,36.15552371,http://place.map.kakao.com/1003541069,경상도
1422,월드비즈타운 문경흥덕동점,경북 문경시 중앙로 180,128.2027793,36.60043195,http://place.map.kakao.com/415683454,경상도
1423,하모니소호사무실,강원특별자치도 춘천시 충혼길52번길 10,127.7195555,37.86047648,http://place.map.kakao.com/12334513,강원도
1424,워크오피스,충북 충주시 지곡6길 13,127.9321881,36.96376957,http://place.map.kakao.com/916063958,충청도
1425,공유오피스 서린퍼스텝 원주점,강원특별자치도 원주시 서원대로 500,127.9570378,37.32557978,http://place.map.kakao.com/1537221822,강원도
1426,카페24창업센터 원주기업도시점,강원특별자치도 원주시 지정면 무릉로 43,127.8777561,37.37497831,http://place.map.kakao.com/1939643492,강원도
1427,와이엘워크,강원특별자치도 원주시 라옹정길 51-7,127.9607509,37.32017883,http://place.map.kakao.com/1534599692,강원도
1428,다워크춘천공유오피스,강원특별자치도 춘천시 춘천로 188,127.7353163,37.87609135,http://place.map.kakao.com/1341980706,강원도
1429,뉴런플러스,강원특별자치도 원주시 시청로 22,127.9221938,37.34019953,http://place.map.kakao.com/1684622136,강원도
1430,크리에이티브스퀘어,강원특별자치도 춘천시 우묵길78번길 30,127.7262979,37.86607131,http://place.map.kakao.com/229492945,강원도
1431,스페이스 봄,강원특별자치도 춘천시 춘주로 89,127.7198647,37.86223501,http://place.map.kakao.com/1329382929,강원도
1432,언택트비즈니스센터,강원특별자치도 원주시 건강로 23,127.9877987,37.32529272,http://place.map.kakao.com/2037322459,강원도
1433,오피스벨리,충북 충주시 대현4길 46,127.9278653,36.9841393,http://place.map.kakao.com/757155329,충청도
1434,워크앤드,강원특별자치도 횡성군 강림면 월현리 1038,128.1573347,37.35592264,http://place.map.kakao.com/1935487394,강원도
1435,상지대학교 코워킹스페이스,강원특별자치도 원주시 상지대길 83,127.9266839,37.3711317,http://place.map.kakao.com/1769426437,강원도
1436,비상주사무실 여주 이천 원주 공유오피스 1호점,경기 여주시 명성로 49,127.6522241,37.25819563,http://place.map.kakao.com/1854386454,경기도
1437,행복비즈니스센터 김해점,경남 김해시 율하3로 77,128.8160096,35.17453857,http://place.map.kakao.com/278992254,경상도
1438,위워크 서면,부산 부산진구 서전로 8,129.0604354,35.1573268,http://place.map.kakao.com/706951431,경상도
1439,위워크 BIFC,부산 남구 전포대로 133,129.0651991,35.14844311,http://place.map.kakao.com/1725275454,경상도
1440,더휴일 X 데스커 워케이션 센터,부산 영도구 대교로46번길 46,129.0426738,35.0950739,http://place.map.kakao.com/676315798,경상도
1441,창업공간,부산 중구 광복중앙로 28-1,129.0310917,35.10187417,http://place.map.kakao.com/1824607768,경상도
1442,부산EDC 어반테크하우스,부산 강서구 에코델타스마트로 39,128.9161797,35.13118058,http://place.map.kakao.com/899211570,경상도
1443,드림워크,부산 연제구 연제로 30,129.0767083,35.17933267,http://place.map.kakao.com/1880418206,경상도
1444,폴리워크,부산 부산진구 양지로5번길 8,129.0699209,35.16998765,http://place.map.kakao.com/2033438638,경상도
1445,오피스야 전포점,부산 부산진구 동성로 137,129.0639869,35.16082681,http://place.map.kakao.com/1772487996,경상도
1446,공유오피스 도약,부산 사상구 사상로 123,128.9890725,35.15738262,http://place.map.kakao.com/576765723,경상도
1447,부산워케이션거점센터,부산 동구 중앙대로214번길 7-8,129.0418561,35.11622468,http://place.map.kakao.com/408983664,경상도
1448,망미밸리,부산 수영구 수영로642번길 28,129.1158055,35.16261347,http://place.map.kakao.com/1611615082,경상도
1449,e커머스비즈센터,부산 부산진구 동천로 116,129.0626214,35.15907209,http://place.map.kakao.com/869407183,경상도
1450,홈어라운드,부산 수영구 수영로 761,129.1221458,35.16729033,http://place.map.kakao.com/1039208677,경상도
1451,카페24창업센터 부산대연점,부산 남구 수영로 233,129.0921615,35.13543085,http://place.map.kakao.com/238232777,경상도
1452,셀렉스페이스,부산 부산진구 동천로 16,129.0629333,35.15017681,http://place.map.kakao.com/1549752560,경상도
1453,반창고,부산 중구 해관로 39-1,129.0354462,35.10244815,http://place.map.kakao.com/855687037,경상도
1454,훈비즈니스센터,부산 강서구 명지국제8로 235,128.9186125,35.09852516,http://place.map.kakao.com/1994111697,경상도
1455,카페24창업센터 부산범일점,부산 부산진구 신암로 9,129.0557136,35.1429758,http://place.map.kakao.com/2048353925,경상도
1456,비즈원스,부산 남구 천제등로 30,129.0885226,35.1329776,http://place.map.kakao.com/1461067414,경상도
1457,메타버스혁신센터,부산 부산진구 서면로 10,129.0581734,35.1514284,http://place.map.kakao.com/422860398,경상도
1458,오티스,부산 남구 용소로28번길 8,129.1003485,35.13501162,http://place.map.kakao.com/380221955,경상도
1459,에프앤씨비즈센터,부산 남구 수영로 298,129.0990364,35.13658615,http://place.map.kakao.com/1844510296,경상도
1460,스타팅튜브,부산 남구 용소로 18,129.1005076,35.13561083,http://place.map.kakao.com/646177039,경상도
1461,부산서면공유오피스,부산 부산진구 부전로 99,129.0545081,35.15895407,http://place.map.kakao.com/1584239670,경상도
1462,르호봇 부산중앙역 스마트오피스,부산 중구 중앙대로 102,129.0365216,35.10671246,http://place.map.kakao.com/760551577,경상도
1463,스페이스950,부산 강서구 명지오션시티9로 50,128.9025149,35.08821776,http://place.map.kakao.com/1022837240,경상도
1464,부산공유오피스,부산 남구 우암로154번길 57,129.0815675,35.1260268,http://place.map.kakao.com/1851078632,경상도
1465,부산비상주사무실부산 비상주오피스김해창원해운대임대,부산 중구 대청로 60,129.026359,35.1028041,http://place.map.kakao.com/700083581,경상도
1466,비큐브 센텀점,부산 해운대구 센텀중앙로 78,129.1269689,35.17461944,http://place.map.kakao.com/1566659583,경상도
1467,비큐브 초량점,부산 동구 중앙대로 314,129.0451154,35.12433071,http://place.map.kakao.com/930760870,경상도
